"image","patch","method","m","sigma2","lambda","converged","resid"
1,8,"corrected",10,0.00017657902115494,0.986244223990904,1,7.96304150266585e-06
1,8,"corrected",12,0.00017644628846789,0.990876371415669,1,8.0432274560945e-06
1,8,"corrected",15,0.000176353281861899,0.994076048599449,1,8.09763743540709e-06
1,8,"corrected",18,0.000175521472188805,1.0192491463836,1,8.53044276543535e-06
1,9,"naive",NA,8.27445415705779e-05,4.41634657356366,1,1.0632824139495e-05
1,9,"corrected",10,7.51650035046848e-05,6.32644508464402,1,1.1053342189024e-05
1,9,"corrected",12,7.40050081306602e-05,7.09436935130766,1,1.11756050003441e-05
1,9,"corrected",15,7.34655720550446e-05,8.54380094667711,1,1.13498132348177e-05
1,9,"corrected",18,7.43074388869503e-05,10.1035702618932,1,1.14824220594532e-05
2,1,"naive",NA,4.28717875155616e-05,3.179930744655,1,7.10759300311012e-06
2,1,"corrected",10,2.59154941275244e-05,7.47783133619378,1,7.12692328880317e-06
2,1,"corrected",12,2.5081451452934e-05,8.68094863003362,1,7.14502434049108e-06
2,1,"corrected",15,2.45945917899676e-05,10.6651675365421,1,7.1658845797756e-06
2,1,"corrected",18,2.48192539130318e-05,13.272854428676,1,7.17972436724756e-06
2,2,"naive",NA,0.000141179042881052,0.94188012203023,1,5.06026637611403e-06
2,2,"corrected",10,0.000140851053876029,0.96542490142496,1,5.08359916595698e-06
2,2,"corrected",12,0.000140891652708199,0.963132614209865,1,5.07872165597775e-06
2,2,"corrected",15,0.000140807894605673,0.967879232681161,1,5.09078934792618e-06
2,2,"corrected",18,0.000140560554382427,0.980886122351483,1,5.13663598928922e-06
2,3,"naive",NA,0.000115820968190345,1.24222580947401,1,4.93226564945261e-06
2,3,"corrected",10,0.000110177263685702,1.39509167446132,1,5.68497797481767e-06
2,3,"corrected",12,0.00010558932081531,1.50857183416087,1,6.13310587069633e-06
2,3,"corrected",15,9.08967198015564e-05,1.88702522913139,1,6.92751794772609e-06
2,3,"corrected",18,8.16329439681469e-05,2.17236612734161,1,7.16698014073625e-06
2,4,"naive",NA,7.24510740684372e-05,3.22669756282994,1,8.26344526656714e-06
2,4,"corrected",10,6.26925290114664e-05,4.51715219208983,1,8.51350494611512e-06
2,4,"corrected",12,6.1725318461049e-05,4.74343555726213,1,8.55302205548372e-06
2,4,"corrected",15,6.10984287107096e-05,4.9146224077553,1,8.58256620679953e-06
2,4,"corrected",18,6.09628903066499e-05,4.9567907683946,1,8.58588822294178e-06
2,5,"naive",NA,0.000114683774024514,2.17673924962527,1,7.36426229785994e-06
2,5,"corrected",10,9.86506412136189e-05,2.84849868608746,1,7.96653143158649e-06
